total_time,app_name
04:52:32,Mozilla Firefox
03:11:52,Visual Studio Code
01:31:28,Rascunho
00:40:56,FoliumTools
00:07:12,Save As
00:02:24,Envio de arquivos
00:01:52,"lZ7WYAZlQlOeMGaW2n_i9Q(2).jpg @ 33.3% (Layer 1, RGB/8) *"
00:01:36,Salvar imagem
00:01:20,Open
00:01:12,Final
00:01:12,"lZ7WYAZlQlOeMGaW2n_i9Q(2).jpg @ 33.3% (Layer 4, RGB/8) *"
00:00:56,lZ7WYAZlQlOeMGaW2n_i9Q(2).jpg ‎- Photos
00:00:40,Projetos
00:00:40,"Header.jpg @ 134% (rosto, RGB/8) *"
00:00:40,Spotify Premium
00:00:32,Plotando dados reais em mapas interativos
00:00:24,"Header.jpg @ 1450% (rosto, RGB/8) *"
00:00:24,"lZ7WYAZlQlOeMGaW2n_i9Q(2).jpg @ 33.3% (Layer 2, RGB/8) *"
00:00:24,"Header.jpg @ 379% (rosto, RGB/8) *"
00:00:16,"Header.jpg @ 4530% (rosto, RGB/8) *"
00:00:16,"lZ7WYAZlQlOeMGaW2n_i9Q(2).jpg @ 33.3% (Layer 0, RGB/8) *"
00:00:16,Header.jpg @ 867% (RGB/8) *
00:00:16,Abrir a Pasta
00:00:16,"lZ7WYAZlQlOeMGaW2n_i9Q(2).jpg @ 33.3% (Layer 3, RGB/8) *"
00:00:08,New Document
00:00:08,"Header.jpg @ 1180% (rosto, RGB/8) *"
00:00:08,"lZ7WYAZlQlOeMGaW2n_i9Q(2).jpg @ 33.3% (Crop Preview, RGB/8) *"
00:00:08,"Header.jpg @ 345% (rosto, RGB/8) *"
00:00:08,Layer Style
00:00:08,Shortcut
00:00:08,"Header.jpg @ 1450% (Layer 0, RGB/8) *"
00:00:08,"Header.jpg @ 867% (Layer 2, RGB/8) *"
00:00:08,Photos
00:00:08,_3f56174c-e721-4773-9b75-b4144b64c0ca-transformed.jpg ‎- Photos
00:00:08,File Explorer
00:00:08,"Untitled-1 @ 66.7% (Layer 1, RGB/8) *"
00:00:08,Downloads
00:00:08,"Header.jpg @ 319% (Layer 3, RGB/8) *"
00:00:08,"Header.jpg @ 319% (Layer 4, RGB/8) *"
00:00:00,Progress
00:00:00,https://file.notion.so/f/t/5c38cd1c-fcb8-4736-8a55-6c0971e8acf7/Export-6a92d2a9-489e-4ff1-9c90-96f0ef62480f.zip?id=1cbb5eb0-88e8-4d78-8f9c-f207a7c5de7c&table=user_export&expirationTimestamp=1699219725177&signature=M1MCjYJSLa1j3yKhMVf5X_lErk9By-cWwLzFeSHDn4U&download=true&downloadName=5c38cd1c-fcb8-4736-8a55-6c0971e8acf7%2FExport-6a92d2a9-489e-4ff1-9c90-96f0ef62480f.zip
00:00:00,Task Switching
00:00:00,Butta Knife
00:00:00,Fade To Black (Live in Mexico City)
00:00:00,Pictures
00:00:00,20230329_084613.jpg ‎- Photos
00:00:00,Seattle '89)
00:00:00,Saving 10%
00:00:00,Untitled
00:00:00,Live Under a Pale Grey Sky
00:00:00,Orbital
00:00:00,"Header.jpg @ 537% (rosto, RGB/8) *"
00:00:00,lZ7WYAZlQlOeMGaW2n_i9Q(2).jpg @ 33.3% (RGB/8)
00:00:00,lZ7WYAZlQlOeMGaW2n_i9Q(1).jpg ‎- Photos
00:00:00,Notion
00:00:00,python
00:00:00,Header.jpg @ 100% (RGB/8)
00:00:00,Header.jpg @ 279% (RGB/8)
00:00:00,Header.jpg @ 490% (RGB/8) *
00:00:00,Header.jpg @ 860% (RGB/8) *
00:00:00,New Layer
00:00:00,"Header.jpg @ 867% (Layer 3, RGB/8) *"
00:00:00,"Header.jpg @ 102% (Layer 3, RGB/8) *"
00:00:00,"Header.jpg @ 1920% (Layer 4, RGB/8) *"
00:00:00,"Header.jpg @ 1600% (Layer 4, RGB/8) *"
00:00:00,"Header.jpg @ 1600% (Layer 0, RGB/8) *"
00:00:00,"Header.jpg @ 478% (rosto, RGB/8) *"
00:00:00,"Header.jpg @ 259% (rosto, RGB/8) *"
00:00:00,"Header.jpg @ 967% (rosto, RGB/8) *"
00:00:00,"Header.jpg @ 214% (rosto, RGB/8) *"
00:00:00,"Header.jpg @ 806% (rosto, RGB/8) *"
00:00:00,"Header.jpg @ 127% (rosto, RGB/8) *"
00:00:00,"Header.jpg @ 502% (rosto, RGB/8) *"
00:00:00,"Header.jpg @ 148% (rosto, RGB/8) *"
00:00:00,lZ7WYAZlQlOeMGaW2n_i9Q.jpg ‎- Photos
00:00:00,Adobe Photoshop
